iter	Passed	Remaining
0	96	95923
1	97	48429
2	98	32589
3	99	24653
4	100	19927
5	103	17092
6	104	14829
7	105	13088
8	106	11761
9	108	10773
10	109	9876
11	110	9133
12	111	8497
13	112	7951
14	114	7536
15	115	7122
16	116	6753
17	117	6421
18	118	6125
19	120	5922
20	122	5689
21	123	5495
22	124	5294
23	125	5106
24	127	4975
25	128	4832
26	129	4682
27	130	4541
28	132	4419
29	133	4302
30	133	4188
31	135	4087
32	137	4028
33	139	3962
34	140	3869
35	141	3783
36	142	3701
37	143	3624
38	144	3550
39	145	3496
40	146	3429
41	147	3364
42	148	3306
43	151	3282
44	152	3233
45	153	3182
46	154	3129
47	155	3078
48	156	3038
49	157	2991
50	158	2947
51	159	2904
52	160	2863
53	161	2829
54	164	2820
55	165	2784
56	166	2746
57	167	2726
58	168	2694
59	169	2662
60	170	2630
61	171	2599
62	177	2644
63	178	2614
64	179	2587
65	181	2563
66	182	2535
67	182	2507
68	184	2483
69	185	2458
70	186	2434
71	186	2410
72	187	2386
73	188	2364
74	191	2360
75	193	2347
76	194	2327
77	195	2306
78	196	2295
79	197	2274
80	198	2253
81	199	2234
82	200	2210
83	201	2194
84	202	2180
85	203	2162
86	204	2145
87	205	2128
88	206	2111
89	207	2096
90	208	2080
91	209	2064
92	210	2048
93	210	2032
94	211	2017
95	212	2005
96	213	1990
97	214	1976
98	215	1961
99	216	1950
100	218	1941
101	219	1928
102	219	1915
103	220	1902
104	221	1889
105	222	1876
106	223	1869
107	225	1860
108	226	1849
109	227	1838
110	228	1826
111	229	1815
112	229	1804
113	230	1794
114	231	1784
115	232	1773
116	233	1762
117	234	1751
118	235	1742
119	236	1733
120	237	1724
121	238	1713
122	239	1706
123	240	1698
124	241	1689
125	242	1680
126	242	1669
127	243	1661
128	244	1653
129	245	1645
130	246	1636
131	247	1627
132	248	1619
133	249	1612
134	250	1604
135	251	1596
136	252	1593
137	253	1585
138	254	1578
139	255	1571
140	256	1563
141	257	1554
142	258	1547
143	259	1541
144	260	1534
145	261	1527
146	261	1520
147	262	1513
148	263	1507
149	264	1500
150	266	1496
151	267	1489
152	267	1483
153	269	1479
154	270	1473
155	271	1467
156	272	1460
157	272	1454
158	273	1448
159	274	1443
160	275	1435
161	276	1430
162	277	1424
163	278	1418
164	279	1413
165	280	1410
166	281	1405
167	282	1400
168	283	1394
169	285	1391
170	286	1386
171	287	1381
172	287	1376
173	288	1371
174	290	1368
175	291	1362
176	292	1359
177	293	1354
178	294	1349
179	295	1345
180	296	1340
181	297	1335
182	297	1330
183	298	1325
184	299	1319
185	300	1315
186	301	1310
187	302	1305
188	303	1300
189	304	1296
190	305	1292
191	306	1288
192	307	1283
193	307	1279
194	309	1275
195	310	1271
196	310	1267
197	311	1263
198	312	1259
199	313	1255
200	314	1251
201	315	1246
202	316	1242
203	317	1238
204	319	1237
205	320	1233
206	321	1229
207	321	1225
208	323	1222
209	323	1218
210	324	1214
211	325	1211
212	326	1207
213	327	1204
214	328	1200
215	329	1196
216	330	1192
217	331	1189
218	332	1185
219	333	1182
220	334	1179
221	335	1175
222	336	1172
223	337	1168
224	338	1164
225	339	1162
226	340	1159
227	341	1156
228	342	1152
229	343	1149
230	344	1146
231	345	1143
232	346	1139
233	347	1136
234	348	1132
235	349	1130
236	349	1126
237	350	1123
238	351	1119
239	352	1116
240	353	1112
241	354	1109
242	355	1106
243	356	1103
244	356	1100
245	357	1096
246	359	1095
247	360	1092
248	361	1089
249	362	1086
250	363	1084
251	364	1080
252	365	1077
253	365	1074
254	367	1072
255	368	1069
256	368	1066
257	369	1063
258	370	1060
259	371	1058
260	372	1055
261	373	1052
262	374	1050
263	375	1047
264	376	1044
265	377	1042
266	378	1039
267	379	1036
268	380	1033
269	381	1030
270	382	1028
271	383	1025
272	384	1022
273	385	1020
274	386	1018
275	387	1015
276	388	1014
277	389	1012
278	390	1009
279	391	1007
280	392	1004
281	393	1002
282	394	999
283	395	996
284	396	994
285	397	991
286	398	989
287	399	988
288	400	985
289	401	983
290	402	981
291	403	979
292	404	976
293	405	974
294	406	971
295	407	969
296	408	967
297	409	964
298	410	962
299	411	960
300	412	958
301	413	955
302	414	953
303	415	951
304	416	949
305	417	947
306	418	944
307	419	942
308	420	940
309	421	937
310	422	935
311	423	933
312	424	931
313	425	928
314	426	926
315	427	924
316	428	922
317	429	920
318	430	918
319	431	916
320	432	915
321	433	912
322	434	910
323	435	907
324	436	905
325	437	903
326	438	901
327	438	899
328	440	897
329	441	895
330	442	893
331	443	891
332	444	889
333	444	887
334	445	884
335	447	883
336	448	881
337	448	879
338	449	877
339	450	875
340	451	872
341	452	870
342	453	868
343	454	866
344	455	865
345	456	863
346	457	861
347	458	859
348	459	856
349	460	854
350	461	852
351	461	850
352	462	848
353	463	846
354	464	844
355	465	842
356	466	840
357	467	838
358	468	836
359	469	834
360	470	833
361	471	831
362	472	829
363	473	827
364	474	825
365	475	823
366	476	821
367	477	819
368	477	817
369	479	815
370	480	814
371	481	812
372	481	810
373	483	808
374	484	807
375	485	805
376	486	803
377	486	801
378	487	799
379	488	797
380	489	795
381	490	793
382	491	791
383	492	789
384	493	788
385	494	786
386	495	784
387	496	782
388	497	781
389	498	779
390	499	777
391	500	776
392	501	774
393	502	772
394	503	770
395	503	768
396	504	766
397	505	765
398	506	763
399	507	761
400	508	760
401	509	758
402	510	756
403	511	754
404	512	752
405	513	751
406	514	749
407	515	747
408	516	746
409	517	744
410	518	742
411	519	741
412	520	739
413	521	737
414	521	735
415	522	733
416	527	737
417	529	736
418	530	735
419	531	733
420	532	732
421	534	732
422	536	731
423	538	731
424	539	730
425	541	729
426	542	728
427	546	730
428	547	728
429	548	727
430	550	726
431	551	724
432	552	723
433	553	721
434	554	719
435	554	717
436	556	716
437	557	714
438	558	713
439	558	711
440	560	710
441	563	711
442	565	710
443	566	709
444	567	707
445	568	706
446	570	705
447	571	703
448	571	701
449	572	700
450	573	698
451	574	696
452	575	694
453	576	693
454	577	691
455	578	689
456	579	688
457	580	686
458	581	684
459	582	683
460	583	681
461	584	680
462	584	678
463	585	676
464	586	675
465	587	673
466	588	671
467	589	670
468	590	668
469	591	667
470	592	665
471	593	663
472	594	662
473	595	660
474	596	659
475	597	657
476	598	656
477	599	654
478	600	652
479	601	651
480	602	649
481	603	648
482	604	646
483	605	645
484	606	643
485	607	642
486	608	640
487	609	639
488	610	638
489	611	636
490	612	635
491	613	633
492	614	632
493	615	630
494	616	628
495	617	627
496	618	625
497	619	624
498	620	622
499	620	620
500	621	619
501	622	617
502	623	616
503	624	614
504	625	613
505	626	611
506	627	610
507	628	609
508	629	607
509	630	605
510	631	604
511	632	602
512	633	601
513	634	599
514	635	598
515	636	596
516	637	595
517	638	593
518	639	592
519	640	590
520	641	589
521	642	587
522	642	586
523	643	585
524	644	583
525	645	581
526	646	580
527	647	578
528	648	577
529	649	576
530	650	574
531	651	573
532	652	571
533	653	570
534	654	568
535	655	567
536	656	565
537	656	564
538	657	562
539	659	561
540	660	560
541	661	558
542	661	557
543	662	555
544	663	554
545	664	552
546	665	551
547	666	549
548	667	548
549	668	546
550	669	545
551	670	543
552	671	542
553	671	540
554	672	539
555	673	538
556	674	536
557	675	535
558	676	533
559	677	532
560	678	530
561	679	529
562	680	528
563	681	526
564	682	525
565	683	523
566	683	522
567	684	520
568	685	519
569	686	518
570	687	516
571	688	515
572	689	513
573	690	512
574	691	511
575	693	510
576	693	508
577	695	507
578	696	506
579	696	504
580	697	503
581	698	501
582	699	500
583	700	499
584	701	497
585	702	496
586	703	495
587	704	493
588	705	492
589	706	491
590	707	489
591	708	488
592	709	486
593	710	485
594	711	484
595	712	482
596	712	481
597	713	479
598	715	478
599	716	477
600	717	476
601	718	474
602	719	473
603	720	472
604	721	470
605	722	469
606	722	468
607	723	466
608	724	465
609	725	464
610	726	462
611	727	461
612	728	459
613	729	458
614	730	457
615	731	456
616	732	454
617	733	453
618	734	452
619	735	450
620	736	449
621	737	448
622	738	446
623	739	445
624	740	444
625	741	442
626	742	441
627	743	440
628	743	438
629	744	437
630	746	436
631	747	435
632	748	433
633	748	432
634	750	431
635	750	429
636	751	428
637	752	427
638	753	425
639	754	424
640	755	423
641	756	421
642	757	420
643	758	419
644	759	418
645	760	416
646	761	415
647	762	414
648	763	412
649	763	411
650	764	410
651	765	408
652	766	407
653	767	406
654	768	404
655	769	403
656	770	402
657	771	401
658	772	399
659	773	398
660	774	397
661	775	395
662	776	394
663	777	393
664	777	391
665	778	390
666	780	389
667	781	388
668	782	386
669	782	385
670	783	384
671	784	383
672	785	381
673	786	380
674	787	379
675	788	378
676	789	376
677	790	375
678	791	374
679	792	372
680	793	371
681	794	370
682	795	369
683	796	367
684	797	366
685	798	365
686	798	363
687	800	362
688	801	361
689	802	360
