iter	Passed	Remaining
0	150	150810
1	151	75778
2	152	50647
3	152	38081
4	153	30544
5	154	25517
6	154	21938
7	155	19244
8	155	17148
9	156	15470
10	157	14150
11	158	13018
12	158	12053
13	159	11222
14	159	10504
15	160	9879
16	161	9323
17	161	8827
18	162	8385
19	162	7986
20	163	7626
21	164	7297
22	164	6995
23	165	6720
24	165	6466
25	166	6234
26	166	6016
27	167	5814
28	168	5625
29	168	5449
30	169	5287
31	169	5135
32	170	4990
33	171	4865
34	172	4752
35	173	4633
36	173	4520
37	174	4412
38	174	4310
39	175	4215
40	176	4127
41	177	4037
42	177	3952
43	178	3870
44	178	3792
45	179	3717
46	179	3645
47	180	3578
48	181	3514
49	181	3451
50	182	3390
51	182	3333
52	183	3278
53	184	3223
54	184	3172
55	185	3126
56	186	3083
57	187	3037
58	187	2993
59	188	2953
60	189	2910
61	189	2869
62	190	2830
63	190	2792
64	191	2756
65	192	2720
66	192	2684
67	193	2649
68	193	2616
69	194	2584
70	195	2552
71	195	2521
72	196	2491
73	196	2463
74	197	2436
75	198	2409
76	198	2382
77	199	2357
78	200	2338
79	201	2316
80	202	2293
81	202	2270
82	203	2244
83	203	2222
84	204	2200
85	205	2179
86	205	2158
87	206	2139
88	206	2118
89	207	2098
90	208	2079
91	208	2059
92	209	2041
93	209	2022
94	210	2004
95	210	1986
96	211	1968
97	212	1951
98	212	1934
99	213	1918
100	215	1915
101	216	1902
102	216	1888
103	217	1873
104	218	1858
105	218	1844
106	219	1829
107	219	1816
108	220	1803
109	221	1789
110	221	1776
111	222	1762
112	222	1749
113	223	1738
114	224	1726
115	225	1715
116	225	1702
117	226	1690
118	226	1678
119	227	1666
120	227	1655
121	228	1642
122	230	1640
123	230	1630
124	231	1619
125	231	1609
126	232	1598
127	233	1588
128	233	1579
129	234	1570
130	235	1560
131	235	1551
132	236	1541
133	237	1532
134	237	1524
135	238	1515
136	239	1506
137	239	1497
138	240	1488
139	240	1479
140	241	1470
141	241	1461
142	242	1452
143	242	1444
144	245	1445
145	245	1438
146	246	1431
147	247	1423
148	247	1415
149	248	1408
150	249	1400
151	249	1393
152	250	1386
153	251	1380
154	251	1372
155	252	1366
156	253	1359
157	253	1352
158	254	1346
159	255	1339
160	255	1331
161	256	1325
162	256	1318
163	257	1312
164	257	1305
165	260	1306
166	260	1301
167	261	1295
168	262	1289
169	262	1283
170	263	1277
171	264	1271
172	264	1265
173	265	1259
174	265	1253
175	266	1248
176	267	1243
177	268	1238
178	268	1232
179	269	1226
180	269	1221
181	270	1215
182	271	1209
183	271	1204
184	272	1198
185	272	1193
186	274	1191
187	275	1187
188	275	1183
189	276	1179
190	277	1176
191	278	1171
192	278	1166
193	279	1161
194	280	1156
195	280	1152
196	281	1147
197	282	1142
198	282	1138
199	283	1133
200	283	1128
201	284	1124
202	285	1120
203	285	1115
204	286	1111
205	287	1107
206	287	1102
207	288	1098
208	289	1095
209	290	1091
210	290	1087
211	291	1083
212	292	1079
213	292	1075
214	293	1071
215	294	1069
216	295	1065
217	295	1061
218	296	1058
219	297	1054
220	297	1050
221	298	1046
222	299	1042
223	299	1039
224	300	1035
225	301	1032
226	302	1028
227	303	1026
228	304	1024
229	304	1020
230	305	1017
231	306	1013
232	307	1010
233	307	1006
234	308	1004
235	309	1000
236	309	997
237	310	994
238	311	991
239	312	988
240	313	986
241	313	982
242	314	979
243	315	976
244	315	972
245	316	969
246	316	965
247	317	962
248	318	960
249	319	957
250	319	954
251	320	951
252	321	948
253	321	945
254	322	942
255	323	941
256	325	940
257	326	938
258	326	935
259	327	932
260	328	929
261	328	926
262	329	923
263	330	921
264	331	918
265	331	915
266	333	914
267	334	913
268	335	910
269	335	907
270	336	905
271	337	902
272	337	899
273	338	896
274	339	893
275	339	891
276	340	888
277	341	886
278	342	883
279	342	881
280	343	878
281	344	875
282	344	873
283	345	870
284	345	867
285	346	865
286	347	862
287	347	860
288	348	858
289	349	855
290	350	853
291	351	851
292	351	848
293	352	846
294	353	843
295	353	841
296	354	838
297	355	836
298	355	833
299	356	831
300	357	829
301	357	826
302	358	824
303	358	821
304	359	819
305	360	816
306	360	814
307	361	812
308	362	810
309	364	810
310	365	808
311	365	806
312	366	804
313	367	802
314	367	800
315	368	798
316	369	796
317	370	793
318	370	791
319	371	789
320	372	787
321	372	784
322	373	782
323	374	780
324	374	778
325	375	776
326	376	774
327	376	771
328	377	769
329	378	767
330	379	766
331	379	764
332	380	762
333	381	759
334	381	758
335	382	756
336	383	754
337	384	753
338	385	752
339	386	750
340	387	749
341	388	747
342	389	745
343	389	743
344	390	741
345	391	739
346	393	740
347	394	739
348	395	737
349	396	735
350	396	733
351	397	732
352	398	730
353	399	728
354	400	726
355	400	724
356	401	723
357	402	721
358	403	719
359	403	717
360	404	715
361	405	713
362	405	711
363	406	710
364	407	708
365	407	706
366	408	704
367	409	702
368	409	700
369	410	698
370	411	696
371	411	695
372	412	693
373	413	691
374	413	689
375	414	687
376	414	685
377	415	683
378	416	681
379	416	680
380	417	678
381	418	676
382	418	674
383	419	672
384	419	670
385	420	668
386	421	666
387	421	665
388	423	664
389	423	663
390	424	661
391	425	659
392	425	657
393	426	656
394	427	654
395	427	652
396	428	651
397	429	649
398	429	647
399	430	645
400	431	644
401	431	642
402	432	640
403	433	638
404	433	637
405	434	635
406	435	633
407	435	632
408	437	631
409	438	630
410	439	629
411	439	627
412	440	626
413	441	624
414	442	623
415	442	621
416	443	619
417	443	618
418	444	616
419	445	614
420	445	612
421	446	611
422	446	609
423	447	607
424	447	606
425	448	604
426	449	602
427	449	600
428	450	599
429	450	597
430	451	596
431	452	595
432	453	593
433	453	591
434	454	590
435	454	588
436	455	586
437	456	585
438	456	583
439	457	582
440	458	580
441	458	578
442	459	577
443	459	575
444	460	574
445	461	572
446	461	571
447	462	569
448	462	567
449	463	566
450	463	564
451	464	563
452	465	561
453	465	560
454	466	558
455	467	557
456	467	555
457	468	554
458	469	552
459	469	551
460	470	549
461	470	548
462	471	546
463	472	545
464	472	543
465	473	542
466	473	540
467	474	539
468	475	537
469	475	536
470	476	534
471	476	533
472	477	531
473	477	530
474	478	528
475	478	527
476	479	525
477	479	524
478	480	522
479	481	521
480	482	520
481	482	518
482	483	517
483	484	516
484	484	514
485	485	513
486	485	511
487	486	510
488	487	508
489	487	507
490	488	506
491	489	504
492	489	503
493	490	502
494	490	500
495	491	499
496	492	498
497	493	496
498	493	495
499	494	494
500	495	493
501	497	493
502	498	492
503	498	491
504	499	489
505	500	488
506	500	487
507	501	485
508	502	484
509	502	483
510	503	481
511	504	480
512	504	479
513	505	477
514	505	476
515	506	475
516	507	473
517	507	472
518	508	471
519	509	469
520	509	468
521	510	467
522	512	467
523	513	466
524	513	464
525	514	463
526	515	462
527	515	461
528	516	459
529	517	458
530	517	457
531	518	456
532	519	454
533	519	453
534	520	452
535	520	450
536	521	449
537	522	448
538	522	447
539	523	445
540	524	444
541	524	443
542	525	442
543	526	440
544	526	439
545	527	438
546	528	437
547	528	436
548	529	434
549	529	433
550	530	432
551	531	431
552	531	429
553	532	428
554	533	427
555	533	426
556	534	425
557	535	423
558	535	422
559	536	421
560	536	420
561	537	418
562	538	417
563	538	416
564	539	415
565	539	413
566	540	412
567	541	411
568	542	410
569	542	409
570	543	408
571	543	406
572	544	405
573	545	404
574	545	403
575	546	402
576	547	401
577	548	400
578	548	399
579	549	397
580	550	396
581	550	395
582	551	394
583	551	393
584	552	391
585	553	390
586	553	389
587	554	388
588	554	387
589	555	386
590	556	385
591	557	384
592	558	383
593	558	381
594	559	380
595	560	379
596	560	378
597	561	377
598	562	376
599	562	375
600	563	374
601	564	373
602	564	371
603	565	370
604	566	369
605	566	368
606	567	367
607	567	366
608	568	364
609	569	363
610	569	362
611	570	361
612	570	360
613	571	359
614	572	358
615	573	357
616	573	356
617	574	355
618	575	354
619	575	352
620	576	351
621	577	350
622	577	349
623	578	348
624	578	347
625	579	346
626	580	345
627	580	344
628	581	342
629	581	341
630	582	340
631	583	339
632	583	338
633	584	337
634	584	336
635	585	335
636	586	334
637	587	333
638	588	332
639	588	331
640	589	330
641	590	329
642	590	327
643	591	326
644	591	325
645	592	324
646	593	323
647	593	322
648	594	321
649	594	320
650	595	319
651	596	318
652	596	317
653	597	315
654	597	314
655	598	313
656	598	312
657	599	311
658	600	310
659	600	309
660	601	308
661	602	307
662	603	306
663	603	305
664	604	304
665	605	303
666	605	302
667	606	301
668	607	300
669	607	299
670	608	298
671	608	297
672	609	296
673	609	295
674	610	293
675	611	292
676	611	291
677	612	290
678	612	289
679	613	288
680	613	287
681	614	286
682	615	285
683	615	284
684	616	283
685	617	282
686	617	281
687	618	280
688	619	279
689	619	278
690	620	277
691	620	276
692	621	275
693	622	274
694	622	273
695	623	272
696	623	271
697	624	270
698	624	269
699	625	268
700	626	267
701	626	266
702	627	265
703	627	263
704	628	262
705	628	261
706	629	260
707	630	260
708	632	259
709	633	258
710	634	257
711	634	256
712	635	255
713	635	254
714	636	253
715	637	252
716	637	251
717	638	250
718	639	249
719	639	248
720	640	247
721	640	246
722	641	245
723	641	244
724	642	243
725	643	242
726	643	241
727	644	240
728	645	239
729	645	238
730	646	237
731	647	236
732	647	235
733	648	234
734	649	234
735	649	233
736	650	232
737	650	231
738	651	230
739	652	229
740	652	228
741	653	227
742	653	226
743	654	225
744	654	224
745	655	223
746	655	222
747	656	221
748	657	220
749	657	219
750	658	218
751	658	217
752	660	216
753	661	215
754	662	214
755	662	213
756	663	213
757	664	212
758	664	211
759	665	210
760	666	209
761	666	208
762	667	207
763	668	206
764	668	205
765	669	204
766	670	203
767	670	202
768	671	201
769	671	200
770	672	199
771	673	198
772	673	197
773	674	196
774	675	196
775	676	195
776	677	194
777	677	193
778	678	192
779	679	191
780	679	190
781	680	189
782	681	188
783	681	187
784	682	186
785	683	185
786	683	185
787	684	184
788	684	183
789	685	182
790	685	181
791	686	180
792	687	179
793	687	178
794	688	177
795	689	176
796	689	175
797	690	174
798	691	173
799	691	172
800	692	172
801	693	171
802	693	170
803	694	169
804	695	168
805	695	167
806	696	166
807	696	165
808	697	164
809	698	163
810	698	162
811	699	161
812	699	160
813	700	160
814	700	159
815	701	158
816	702	157
